timestamp,set
1544850900000 ,i42&e10&c5&p20;i42&e10&c5&p17;i14&e08&c5&p21;i46&e08&c1&p16
1544880600000 ,l3;l2;l4
1545456000000 ,i38&e11&p05;i06&e10&p17;i02&e01&p32;i34&e08&p13
1544869200000 ,i41&e07&p06;i22&e04&p17
1545199200000 ,c1&p20&l3;c2&p35&l2
1544955900000 ,e08&p22&l1;e07&p10&l2;e03&p02&l3;e08&p16&l2
1544946600000 ,i38&p11;i13&p22
1545041400000 ,i43&e10&p08;i22&e08&p17;i20&e04&p13
1544863500000 ,c1&p08
1545036000000 ,l2
1545015600000 ,i30&p08&l1;i01&p10&l2
1545113700000 ,p05
1545227400000 ,c1&p13
1545787800000 ,l2
1544949300000 ,c1&p05&l3;c1&p09&l3;c5&p35&l2
1544772900000 ,i23&e10&p32
1544944200000 ,e08
1544857200000 ,i38&e10&p05&l4;i23&e04&p07&l1
1545541800000 ,e10&c1&p11
1545387300000 ,e08&l2
1545301500000 ,i44&p13&l3
1545721800000 ,c1&p28&l3;c5&p19&l1
1545475500000 ,i22&e04&p19;i30&e01&p01;i06&e04&p05
1545717600000 ,i38&e01&p10&l3
1545560400000 ,i06&p31
1545552600000 ,e04;e08
1545291300000 ,e09&c3&p35
1545723900000 ,e01&c5&p01;e10&c1&p26
1544934000000 ,i77&e03
1545033000000 ,i86&p08&l2;i25&p17&l3
1545028500000 ,i05&c4&p35&l2
1545298500000 ,i06&p02
1545123000000 ,c1&p22
1545132600000 ,e10&c1&p29;e01&c1&p24;e01&c5&p01;e11&c1&p18
1545204000000 ,c5&p19&l3;c1&p22&l3
1544769300000 ,i38&e11&p32;i65&e09&p35;i42&e10&p30;i06&e04&p09
1545285900000 ,i43&e08&c1&p13;i06&e04&c5&p28;i22&e01&c3&p13
1545809700000 ,i43&e09&p14&l2;i14&e11&p15&l2;i38&e11&p03&l2
1544848200000 ,i46&e11&c4&p01
1544967900000 ,i14&p22&l3
1545453600000 ,p15;p20;p02
1544942100000 ,e09&c5&p10&l2;e08&c1&p11&l4
1545120000000 ,c1&p10;c5&p07;c1&p05
1545295200000 ,i69&e09&p35;i13&e03&p11;i43&e10&p11;i39&e01&p08
1545102000000 ,c1&p03;c5&p10
1544938500000 ,p08;p17
1545377700000 ,e09&p20;e03&p28
1545128400000 ,e03&p07;e01&p29;e01&p04
1544861100000 ,i46&e08&c1&p03
1545077700000 ,l2;l3
1544732700000 ,i06&p33
1545211500000 ,i06&e08&p17&l2
